gripper_pos,direction_num,distance
-2.133972183,1,7.599200000000001
-2.133007805,1,7.621
-2.132050947,1,7.6426
-2.131090329,1,7.6686000000000005
-2.130131591,1,7.692399999999999
-2.129163454,1,7.7176
-2.128199076,1,7.7234
-2.127230939,1,7.730200000000001
-2.126268441,1,7.75
-2.125307823,1,7.772999999999999
-2.124347205,1,7.792
-2.123388467,1,7.800400000000001
-2.122433489,1,7.81
-2.121478511,1,7.8434
-2.120523533,1,7.874600000000001
-2.119568554,1,7.8946
-2.118611696,1,7.9002
-2.117654838,1,7.9155999999999995
-2.116684821,1,7.937
-2.115724203,1,7.9584
-2.114761705,1,7.985200000000001
-2.113801087,1,8.0082
-2.11283671,1,8.026399999999999
-2.111877972,1,8.047799999999999
-2.110919234,1,8.072199999999999
-2.109964255,1,8.0958
-2.109014917,1,8.1138
-2.108058059,1,8.1174
-2.10710308,1,8.131
-2.106148102,1,8.1554
-2.105178085,1,8.1804
-2.104217467,1,8.203999999999999
-2.103256849,1,8.2264
-2.102301871,1,8.250200000000001
-2.101337493,1,8.272
-2.100382515,1,8.295
-2.099436936,1,8.318200000000001
-2.098481958,1,8.338799999999999
-2.097534499,1,8.3604
-2.096585161,1,8.3824
-2.095632062,1,8.408600000000002
-2.094686484,1,8.4312
-2.093731505,1,8.4496
-2.092772767,1,8.4724
-2.091819669,1,8.4974
-2.09087221,1,8.5204
-2.089917232,1,8.5458
-2.088975413,1,8.5664
-2.088018555,1,8.5866
-2.087072976,1,8.6068
-2.086127397,1,8.6266
-2.085185578,1,8.6488
-2.084243759,1,8.662200000000002
-2.08329254,1,8.677400000000002
-2.082346962,1,8.6908
-2.081391983,1,8.709399999999999
-2.080448284,1,8.745999999999999
-2.079495186,1,8.7662
-2.078553367,1,8.779399999999999
-2.077607788,1,8.7976
-2.076675368,1,8.8172
-2.075735429,1,8.8384
-2.07479925,1,8.8372
-2.073857431,1,8.842000000000002
-2.072921251,1,8.8576
-2.071983192,1,8.872200000000001
-2.071035733,1,8.8918
-2.070090154,1,8.9096
-2.069148335,1,8.930800000000001
-2.068204636,1,8.9548
-2.067253418,1,8.976
-2.066300319,1,8.9938
-2.06535662,1,9.016399999999999
-2.064416681,1,9.0368
-2.063474862,1,9.0506
-2.062534923,1,9.07
-2.061598744,1,9.0928
-2.060664444,1,9.1122
-2.059718865,1,9.1288
-2.058775166,1,9.1468
-2.057838987,1,9.1628
-2.056893408,1,9.1828
-2.055945949,1,9.2026
-2.05499849,1,9.2226
-2.054047272,1,9.237799999999998
-2.053103573,1,9.2542
-2.052159874,1,9.271799999999999
-2.051216175,1,9.295
-2.050264957,1,9.313
-2.049309978,1,9.3368
-2.048364399,1,9.349799999999998
-2.047416941,1,9.364999999999998
-2.046463842,1,9.388
-2.045512624,1,9.403000000000002
-2.044563285,1,9.4232
-2.043615827,1,9.433000000000002
-2.042664608,1,9.4412
-2.04171339,1,9.450999999999999
-2.040764051,1,9.4696
-2.039807193,1,9.4882
-2.038859734,1,9.5066
-2.037904756,1,9.525
-2.036955417,1,9.5468
-2.036007959,1,9.564599999999999
-2.03505486,1,9.577000000000002
-2.034099882,1,9.599799999999998
-2.033144904,1,9.6226
-2.032191805,1,9.6324
-2.031238707,1,9.6538
-2.030281849,1,9.6762
-2.029319351,1,9.6942
-2.028370013,1,9.7104
-2.027426314,1,9.727
-2.026475095,1,9.745000000000001
-2.025525757,1,9.7684
-2.024578298,1,9.7874
-2.023634599,1,9.8074
-2.02269278,1,9.8252
-2.021745321,1,9.8488
-2.020801622,1,9.870999999999999
-2.019850404,1,9.8876
-2.018901065,1,9.900400000000001
-2.017955486,1,9.916599999999999
-2.017011787,1,9.9376
-2.016062449,1,9.959
-2.01512063,1,9.9792
-2.01418069,1,9.9994
-2.013229472,1,10.015600000000001
-2.012289533,1,10.0422
-2.011345834,1,10.0534
-2.010407774,1,10.0702
-2.009462196,1,10.093599999999999
-2.008524136,1,10.116
-2.007576677,1,10.133199999999999
-2.006623579,1,10.1534
-2.005672361,1,10.1806
-2.004732421,1,10.2
-2.003784963,1,10.209999999999999
-2.002831864,1,10.222
-2.001884406,1,10.2386
-2.000948226,1,10.2564
-2.000008287,1,10.2756
-1.999068348,1,10.2914
-1.998134048,1,10.3114
-1.997192229,1,10.3384
-1.99624853,1,10.3516
-1.995306711,1,10.3736
-1.994370532,1,10.392999999999999
